row_id,Name_Fix,Fn_Fix,Ln_Fix,new_town,new_state
0,Jedediah Norton,Jedediah,Norton,Berlin,CT
1,James A Wells,James A,Wells,Hartford,CT
2,Solomon Wells,Solomon,Wells,Wethersfield,CT
3,Solomon Wadham | Solomon Windham,Solomon,Windham,Goshen,CT
4,andrew Huntington,andrew,Huntington,Norwich,CT
5,Hannah Huntington,Hannah,Huntington,Norwich,CT
6,James Wells | Joshua Belden,James,Wells,Wethersfield,CT
7,Edmund Wells,Edmund,Wells,,NY
8,Simeon Huntington | Simon Huntington,Simeon,Huntington,Norwich,CT
9,Simeon Huntington | Simon Huntington,Simon,Huntington,Norwich,CT
10,David Waterbury,David,Waterbury,Stamford,CT
11,Samuel Foster,Samuel,Foster,Wethersfield,CT
12,Reuben Norton,Reuben,Norton,Farmington,CT
13,Elisha Stoughton,Elisha,Stoughton,Windsor,CT
14,Rufus Norton,Rufus,Norton,Guilford,CT
15,James Wells,James,Wells,Wethersfield,CT
16,John Huntington,John,Huntington,Norwich,CT
17,John Thompson,John,Thompson,Stratford,CT
18,Samuel Wells,Samuel,Wells,Glastonbury,CT
19,John Norton,John,Norton,Guilford,CT
20,Josiah Norton,Josiah,Norton,,VT
21,Jedediah Huntington,Jedediah,Huntington,New London,CT
22,Roger Wells,Roger,Wells,Wethersfield,CT
23,Henry Huntington,Henry,Huntington,Norwich,CT
24,James Thompson,James,Thompson,Goshen,CT
25,John Humphrey | Zachariah Huntington,Zachariah,Huntington,Derby,CT
26,Zachariah Huntington,Zachariah,Huntington,Norwich,CT
27,Daniel Ludlow,Daniel,Ludlow,New York City,NY
28,Zachariah Huntington,Zachariah,Huntington,,CT
29,John Weston,John,Weston,Harford County,MD
30,Christopher Richardson | Christopher Richmond,Christopher,Richmond,Annapolis,MD
31,Christopher Johnston,Christopher,Johnston,,MD
32,The Treasurer Of The Cincinnati Of Maryland,The Treasurer Of The Cincinnati Of,Maryland,,MD
33,Abiel Foster,Abiel,Foster,Canterbury,NH
34,David Foster,David,Foster,Canterbury,NH
35,Joshua Thompson,Joshua,Thompson,Concord,NH
36,Elias Hasket Derby,Elias Hasket,Derby,Salem,NH
37,Ebenezer Thompson,Ebenezer,Thompson,Durham,NH
38,Daniel Ludlow,Daniel,Ludlow,,NY
39,Richard Johnston,Richard,Johnston,,NY
40,Dominick Lynch | Thomas Stoughton,Thomas,Stoughton,,NY
41,Gulian Ludlow,Gulian,Ludlow,,NY
42,Hezekiah Thompson,Hezekiah,Thompson,,NY
43,Catherine Branford,Catherine,Branford,,NY
44,George Ludlow,George,Ludlow,,NY
45,Jacob Branford,Jacob,Branford,,NY
46,James Richmond,James,Richmond,,NY
47,Thomas Bolton,Thomas,Bolton,,NY
48,David Waterbury,David,Waterbury,,NY
49,James Johnston,James,Johnston,,NY
50,Henry Huntington,Henry,Huntington,,NY
51,Robert C Johnston,Robert C,Johnston,,NY
52,Thomas Ludlow,Thomas,Ludlow,,NY
53,Martha Norton,Martha,Norton,,NY
54,Horace Johnston | Seth Johnston,Horace,Johnston,,NY
55,Horace Johnston | Seth Johnston,Seth,Johnston,,NY
56,John H Thompson,John H,Thompson,,NY
57,Edward Thompson,Edward,Thompson,,PA
58,Robert Johnston,Robert,Johnston,Franklin County,PA
59,Archibald Thompson,Archibald,Thompson,,PA
60,Joseph Thompson,Joseph,Thompson,Westmoreland City,PA
61,George Washington,George,Washington,,VA
62,Charles Smith | David Lenax | David Lenox | Francis Johnston | Lawrence Keene | Thomas Mifflin,Francis,Johnston,,PA
63,Charles Smith | David Lenax | David Lenox | Francis Johnston | Lawrence Keene | Thomas Mifflin,Lawrence,Keene,,PA
64,John Armstrong,John,Armstrong,Armstrong,PA
65,Francis Johnson | Francis Johnston,Francis,Johnston,Philadelphia,PA
66,Joseph Thompson,Joseph,Thompson,,PA
67,Daniel Ludlow | David Ludlow,Daniel,Ludlow,,PA
68,Daniel Ludlow | David Ludlow,David,Ludlow,,PA
69,James Johnston | James Strawbridge | John McDowell | Samuel Strawbridge,James,Johnston,,PA
70,Rebecca Carlisle,Rebecca,Carlisle,,NJ
71,Jonathan Wells,Jonathan,Wells,,PA
72,Dorcas Montgomery,Dorcas,Montgomery,Philadelphia,PA
73,Robert Montgomery,Robert,Montgomery,Philadelphia,PA
74,John Johnston,John,Johnston,Allegheny County,PA
75,James Johnston,James,Johnston,,PA
76,John Thompson | John Thomson,John,Thompson,Philadelphia,PA
77,Simon Newton,Simon,Newton,Newport,RI
78,Benjamin Richmond,Benjamin,Richmond,Little Compton,RI
79,John Foster,John,Foster,Providence,RI
80,Mary Johnson | Mary Johnston,Mary,Johnston,,RI
81,John Warren | The President Of Bank Of Providence | William Littlefeild,John,Warren,,RI
82,William Washington,William,Washington,Charleston,SC
83,John Johnston,John,Johnston,Philadelphia,PA
